site,pillar,indicator,raw_value,bg_median,anomaly,bg_std,bg_std_spatial,bg_std_temporal,z,score,confidence,qa,n_valid,anomaly_strength,spatial_context,extra_note
"Tongwei/LONGi polysilicon, Leshan",air,air.hcho,142.17399243212438,146.4534741655111,-4.279481733386717,68.45922172950877,18.96265134294936,68.45922172950877,-0.0625113991259717,0.0,0.6825878378378377,0.85,1.0,0.05405405405405406,1.0,
"Tongwei/LONGi polysilicon, Leshan",air,air.pm25,,,,,,,,,,,,,,
"Tongwei/LONGi polysilicon, Leshan",air,air.pm10,,,,,,,,,,,,,,
"Tongwei/LONGi polysilicon, Leshan",air,air.o3,305.52933304051464,305.2249006999239,0.3044323405907221,17.344708304275134,0.6206956291230209,17.344708304275134,0.017551885869172296,0.005850628623057432,0.7078735632183908,0.85,1.0,0.011494252873563218,1.0,
"Tongwei/LONGi polysilicon, Leshan",air,air.aai,-0.4244731311411751,-0.439989289034737,0.015516157893561922,0.48834776213827247,0.040917821917929226,0.48834776213827247,0.03177276337997966,0.010590921126659887,0.719367816091954,0.85,1.0,0.05747126436781609,1.0,
"Tongwei/LONGi polysilicon, Leshan",air,air.aod,242.07607058350195,255.50812943081294,-13.432058847310998,329.30737507627595,26.820079042539692,329.30737507627595,-0.04078881878731016,0.0,0.6652380952380953,0.9,0.7777777777777778,0.047619047619047616,1.0,
"Tongwei/LONGi polysilicon, Leshan",ghg,ghg.ch4,1861.7816050691938,1920.267217650304,-58.48561258111022,17.00336277618615,14.99088816504911,17.00336277618615,-3.4396497534606225,0.0,0.2635304274861894,0.85,0.037037037037037035,0.0,0.4220128216441705,context — not scored (M-CH4-A1 reference)
"Tongwei/LONGi polysilicon, Leshan",ghg,ghg.co2,4384.554258664476,,,,,,,0.39753139475411586,1.0,1.0,1.0,1.0,1.0,"context — not scored; rel_intensity=2.4976489354040394 (cap 10), total_tCO2yr=391927.56773332594"
"Tongwei/LONGi polysilicon, Leshan",ghg,ghg.viirs,8.725269868589923,,,,,,,0.02407022843118747,0.6810175571077969,0.85,0.9,0.02407022843118747,1.0,"flaring_frac=0.002407022843118747, lit_contrast_pct=0.9069247000233577, state=high"
"TSMC Fab 18, Tainan",air,air.no2,96.96893675365673,95.87722440506808,1.0917123485886577,42.41629693400344,6.532106997011913,42.41629693400344,0.025738040034170823,0.008579346678056942,0.684,0.9,1.0,0.0,1.0,
"TSMC Fab 18, Tainan",air,air.so2,-11.612180918068933,-6.471910077121907,-5.140270840947026,154.295752688635,34.75223253590542,154.295752688635,-0.03331440270633998,0.0,0.594,0.75,1.0,0.0,1.0,
"TSMC Fab 18, Tainan",air,air.co,44.15062113307283,43.64582752858602,0.5047936044868138,4.107887531137283,0.6724472772637577,4.107887531137283,0.12288398858550537,0.04096132952850179,0.5996164383561643,0.85,1.0,0.1780821917808219,1.0,
"TSMC Fab 18, Tainan",air,air.hcho,168.18630829285004,167.24162774928953,0.9446805435605086,80.54810074567764,13.354078596488716,80.54810074567764,0.011728154168938637,0.003909384722979545,0.6820876623376623,0.85,1.0,0.05194805194805195,1.0,
"TSMC Fab 18, Tainan",air,air.pm25,,,,,,,,,,,,,,
"TSMC Fab 18, Tainan",air,air.pm10,,,,,,,,,,,,,,
